config_name,model_name,scaling,feature_selection,n_features,balancing,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc,best_params,success,error,external_validated,external_accuracy,external_precision,external_recall,external_f1,external_auc,external_n_disease,external_n_healthy,external_disease_pred_positive_rate,external_healthy_pred_positive_rate,generalization_gap,project,task_name,disease_abbr,disease_full,geography_abbr,geography_full,sequencer_abbr,sequencer_full,n_disease,n_healthy,external_source
NoScale_AllFeatures(100%)_smote,SVM_RBF,none,none,1990,smote,0.45933333333333337,0.021924111536540464,0.2,0.4,0.015384615384615385,0.03076923076923077,0.02857142857142857,0.05714285714285714,0.2881118881118881,0.18613225116818205,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.001}",True,,True,0.7777777777777778,0.0,0.0,0.0,0.17857142857142855,4,14,0.0,0.0,0.10954045954045954,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_smote,MLP,none,none,1990,smote,0.581,0.13535385722862375,0.5083333333333333,0.2927361345041716,0.7571428571428571,0.3875617133214439,0.5908523908523908,0.3006050091525634,0.817982017982018,0.13028773249477285,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}",True,,True,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,0.7142857142857143,4,14,1.0,1.0,0.10369630369630367,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,RandomForest,none,none,1990,undersample,0.943,0.018779421361337697,0.9714285714285715,0.03499271061118824,0.9252747252747253,0.002691746970091395,0.9474285714285713,0.0153967926689228,0.9844155844155844,0.01111273551946856,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",True,,True,0.8888888888888888,0.75,0.75,0.75,0.9464285714285715,4,14,0.75,0.07142857142857142,0.0379870129870129,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,XGBoost,none,none,1990,undersample,0.9506666666666665,0.017016332024133638,0.9723809523809525,0.03385978825644033,0.9395604395604396,0.05731166949628702,0.9536219667943806,0.018560061914741636,0.9934065934065934,0.010061680968642697,"{'clf__colsample_bytree': 1.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__reg_alpha': 0, 'clf__reg_lambda': 10, 'clf__subsample': 0.8}",True,,True,0.8888888888888888,1.0,0.5,0.6666666666666666,0.875,4,14,0.5,0.0,0.11840659340659343,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,LightGBM,none,none,1990,undersample,0.9263333333333333,0.030865298745786786,0.9464285714285715,0.04791574237499549,0.9241758241758242,0.08429366554182463,0.9308865884518058,0.03360994379132828,0.9868131868131869,0.016350078975647137,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,0.8888888888888888,1.0,0.5,0.6666666666666666,0.9464285714285715,4,14,0.5,0.0,0.04038461538461535,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,LogisticRegression,none,none,1990,undersample,0.819,0.10153050991915899,0.8183974358974361,0.062422733303950234,0.8483516483516483,0.1624218946921177,0.829327863540757,0.11377539737217406,0.8699300699300698,0.09466745577919271,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__penalty': 'l2'}",True,,True,0.8333333333333334,0.6666666666666666,0.5,0.5714285714285714,0.8928571428571428,4,14,0.5,0.07142857142857142,-0.022927072927072967,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,SVM_RBF,none,none,1990,undersample,0.45933333333333337,0.021924111536540464,0.2,0.4,0.015384615384615385,0.03076923076923077,0.02857142857142857,0.05714285714285714,0.5,0.0,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 0.001}",True,,True,0.7777777777777778,0.0,0.0,0.0,0.5,4,14,0.0,0.0,0.0,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_AllFeatures(100%)_undersample,MLP,none,none,1990,undersample,0.5083333333333333,0.04911437897624506,0.3286666666666666,0.2684386956706006,0.6,0.48989794855663565,0.4246708246708247,0.3467869639252843,0.8031968031968033,0.1230285041700115,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,), 'clf__learning_rate_init': 0.01}",True,,True,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,0.6964285714285714,4,14,1.0,1.0,0.10676823176823191,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_variance_199f(10%)_NoBalance,RandomForest,none,variance,1990,none,0.9426666666666665,0.019905331502444827,0.9723809523809525,0.03385978825644033,0.9252747252747253,0.06644490750694935,0.9456447588171726,0.021212947659940987,0.9893106893106893,0.008831982459660482,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_split': 10, 'clf__n_estimators': 100}",True,,True,0.9444444444444444,1.0,0.75,0.8571428571428571,1.0,4,14,0.75,0.0,-0.010689310689310672,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
NoScale_variance_199f(10%)_NoBalance,XGBoost,none,variance,1990,none,0.951,0.015513435037626783,0.9607142857142857,0.05101020306102035,0.9549450549450549,0.036841878273055385,0.9558518518518518,0.011336963833901599,0.996003996003996,0.005248321892732746,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300, 'clf__reg_alpha': 0, 'clf__reg_lambda': 1, 'clf__subsample': 0.8}",True,,True,0.8333333333333334,1.0,0.25,0.4,0.7857142857142856,4,14,0.25,0.0,0.21028971028971044,phylum_abundance_PRJEB15371,D4_G2_S3,D4,CD,G2,China,S3,Illumina HiSeq 2000,67,55,phylum_abundance_PRJEB2054.xlsx
