feature,mean_abs_shap,selected,index_in_selected,config_name,model_name,original_f1,original_auc
rev_neg_acisoga,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-androstan-3beta,17alpha-diol disulfate",0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_9-hydroxystearate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_9,10-DiHOME",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_7-methylurate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_6-oxopiperidine-2-carboxylic acid,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_adrenate (22:4n6),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_6-hydroxyindole sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-pregnan-3beta,20beta-diol monosulfate (1)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-pregnan-3beta,20alpha-diol disulfate",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-pregnan-3(alpha or beta),20beta-diol disulfate",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_alpha-hydroxyisocaproate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-androstan-3beta,17beta-diol monosulfate (2)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-androstan-3beta,17beta-diol disulfate",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-androstan-3alpha,17beta-diol monosulfate (1)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_4-androsten-3beta,17beta-diol monosulfate (2)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"rev_neg_5alpha-androstan-3alpha,17beta-diol disulfate",0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_5-oxoproline,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_5-methyluridine (ribothymidine),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_5-hydroxyhexanoate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_5-dodecenoate (12:1n7),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_5-bromotryptophan,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_alpha-hydroxyisovalerate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-vinylphenol sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-methylcatechol sulfate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-methyl-2-oxopentanoate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-hydroxyphenylpyruvate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-hydroxyhippurate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-hydroxychlorothalonil,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_4-ethylphenylsulfate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
"fwd_pos_1,2-dilinoleoyl-GPC (18:2/18:2)",0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_2-methylcitrate/homocitrate,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_2-palmitoleoylglycerol (16:1),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_neg_1-linoleoyl-GPI (18:2),0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_tyrosine,0,FALSE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_urea,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_valine,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
rev_pos_xanthurenate,0,TRUE,1,standard_random_forest_175f(30%)_NoBalance,XGBoost,0.842539683,0.975
