model,scaling,feature_selection,balancing,min_across_tasks,max_across_tasks,mean_across_tasks,std_across_tasks,range,n_tasks
LightGBM,robust,random_forest,undersample,0.8670060331825038,0.992107892107892,0.9393156964810904,0.04226232383109015,0.12510185892538817,6
XGBoost,standard,differential,smote,0.8667012987012989,1.0,0.941981189384642,0.0544156390926196,0.13329870129870114,6
XGBoost,log,random_forest,undersample,0.8665800865800867,0.992207792207792,0.941698267600609,0.05015356694993232,0.1256277056277053,6
XGBoost,standard,random_forest,undersample,0.8665800865800867,0.992207792207792,0.9415776326799742,0.05003704315555281,0.1256277056277053,6
XGBoost,none,random_forest,undersample,0.8665800865800867,0.992207792207792,0.941698267600609,0.05015356694993232,0.1256277056277053,6
XGBoost,robust,random_forest,undersample,0.8665800865800867,0.992207792207792,0.941698267600609,0.05015356694993232,0.1256277056277053,6
LightGBM,none,none,undersample,0.8659313725490195,0.9875,0.9383373490089558,0.04656946945644119,0.12156862745098052,6
LightGBM,log,none,undersample,0.8659313725490195,0.9882117882117882,0.9376778901103665,0.04743835544388919,0.1222804156627687,6
XGBoost,none,differential,undersample,0.8647792207792208,0.9908091908091908,0.938677753650745,0.05361002129168168,0.12602997002997007,6
XGBoost,robust,differential,undersample,0.8647792207792208,0.9908091908091908,0.938677753650745,0.05361002129168168,0.12602997002997007,6
XGBoost,standard,differential,undersample,0.8647792207792208,0.9908091908091908,0.938677753650745,0.05361002129168168,0.12602997002997007,6
LightGBM,standard,none,undersample,0.8643099547511313,0.9882117882117882,0.933618674112256,0.043571545691797504,0.12390183346065697,6
LightGBM,none,variance,smote,0.8640000000000001,0.9994274767378216,0.9479710221071452,0.05492554552883618,0.13542747673782152,6
XGBoost,robust,mutual_info,none,0.8634805194805194,0.9994263820470716,0.9461171192813093,0.05068202323116896,0.13594586256655217,6
LightGBM,log,f_classif,none,0.8630090497737557,0.999425287356322,0.9394309753802653,0.057175775441600435,0.13641623758256627,6
LightGBM,log,random_forest,undersample,0.8629524886877828,0.9908091908091908,0.9382706057777624,0.048273098464808296,0.12785670212140798,6
LightGBM,none,random_forest,undersample,0.8629524886877828,0.9868131868131867,0.9393722818794384,0.043806117814103235,0.1238606981254039,6
LightGBM,standard,mutual_info,undersample,0.8628016591251886,0.977022977022977,0.9399717452930831,0.04197840260475752,0.11422131789778844,6
LightGBM,standard,mutual_info,none,0.8627012987012985,0.999616858237548,0.9390815338096624,0.05711650802879963,0.13691555953624945,6
LightGBM,none,random_forest,smote,0.8618528138528138,0.999808429118774,0.9430826167500698,0.053046470667831476,0.13795561526596023,6
LightGBM,log,mutual_info,undersample,0.8617835595776773,0.9882117882117882,0.9348533989152871,0.05016746333304019,0.12642822863411096,6
LightGBM,robust,mutual_info,smote,0.8616623376623377,1.0,0.9436561834017078,0.056172033086102954,0.13833766233766231,6
XGBoost,log,none,smote,0.8612467532467531,1.0,0.9460401760075673,0.04949572028449169,0.13875324675324685,6
XGBoost,robust,mutual_info,smote,0.8608138528138529,1.0,0.9431126329623772,0.05299877884677924,0.13918614718614708,6
LightGBM,robust,none,undersample,0.8602941176470587,0.9907092907092906,0.9319221389658573,0.043459037196170766,0.13041517306223194,6
XGBoost,log,mutual_info,undersample,0.8592034632034633,0.9934065934065934,0.9416422546894855,0.05077812417159575,0.13420313020313013,6
XGBoost,log,f_classif,none,0.8583549783549783,1.0,0.9486875366649596,0.055145954605743966,0.14164502164502168,6
XGBoost,robust,mutual_info,undersample,0.8582683982683982,0.992207792207792,0.9425063002107494,0.050400875511671564,0.1339393939393938,6
LightGBM,robust,random_forest,none,0.8582579185520363,0.9992348111658456,0.9370303533396179,0.05713262484628868,0.1409768926138093,6
XGBoost,none,mutual_info,smote,0.8580779220779222,1.0,0.9419197154791784,0.053728645729203224,0.14192207792207778,6
XGBoost,robust,differential,smote,0.8575411255411256,1.0,0.9411865006973702,0.05721209291577482,0.1424588744588744,6
LightGBM,standard,none,smote,0.857108225108225,0.999616858237548,0.9384492992851644,0.05418159000426113,0.14250863312932294,6
